Data;GBP/PLN
02/01/2012;5.348
03/01/2012;5.3394
04/01/2012;5.3712
05/01/2012;5.4616
09/01/2012;5.4269
10/01/2012;5.4328
11/01/2012;5.4027
12/01/2012;5.3576
13/01/2012;5.2711
16/01/2012;5.3324
17/01/2012;5.2584
18/01/2012;5.2241
19/01/2012;5.1996
20/01/2012;5.1839
23/01/2012;5.1872
24/01/2012;5.1224
25/01/2012;5.1385
26/01/2012;5.0588
27/01/2012;5.0551
30/01/2012;5.0816
31/01/2012;5.0496
01/02/2012;5.0285
02/02/2012;5.059
03/02/2012;5.0469
06/02/2012;5.0494
07/02/2012;5.0338
08/02/2012;5.006
09/02/2012;4.9879
10/02/2012;5.0216
13/02/2012;4.9968
14/02/2012;5.0054
15/02/2012;4.9669
16/02/2012;5.0953
17/02/2012;5.0416
20/02/2012;5.0114
21/02/2012;4.9913
22/02/2012;4.9682
23/02/2012;4.9325
24/02/2012;4.9167
27/02/2012;4.9415
28/02/2012;4.913
29/02/2012;4.8973
01/03/2012;4.9186
02/03/2012;4.9423
05/03/2012;4.9559
06/03/2012;4.9787
07/03/2012;4.9788
08/03/2012;4.9395
09/03/2012;4.9053
12/03/2012;4.9047
13/03/2012;4.9028
14/03/2012;4.9781
15/03/2012;4.9697
16/03/2012;4.981
19/03/2012;4.9657
20/03/2012;4.9642
21/03/2012;4.9443
22/03/2012;5.0065
23/03/2012;4.9837
26/03/2012;4.9592
27/03/2012;4.9434
28/03/2012;4.9497
29/03/2012;4.971
30/03/2012;4.9908
02/04/2012;4.9793
03/04/2012;4.9669
04/04/2012;5.0057
05/04/2012;5.0271
06/04/2012;5.0418
10/04/2012;5.0592
11/04/2012;5.091
12/04/2012;5.0698
13/04/2012;5.058
16/04/2012;5.1148
17/04/2012;5.0862
18/04/2012;5.0995
19/04/2012;5.1183
20/04/2012;5.1242
23/04/2012;5.1457
24/04/2012;5.1552
25/04/2012;5.0952
26/04/2012;5.1171
27/04/2012;5.1244
30/04/2012;5.1295
02/05/2012;5.1228
04/05/2012;5.1557
07/05/2012;5.2104
08/05/2012;5.201
09/05/2012;5.2297
10/05/2012;5.2697
11/05/2012;5.2838
14/05/2012;5.3676
15/05/2012;5.397
16/05/2012;5.4815
17/05/2012;5.4342
18/05/2012;5.4356
21/05/2012;5.3656
22/05/2012;5.3419
23/05/2012;5.4122
24/05/2012;5.4496
25/05/2012;5.4178
28/05/2012;5.417
29/05/2012;5.4419
30/05/2012;5.4701
31/05/2012;5.4858
01/06/2012;5.4686
04/06/2012;5.4417
05/06/2012;5.4208
06/06/2012;5.3662
08/06/2012;5.3285
11/06/2012;5.302
12/06/2012;5.3552
13/06/2012;5.3861
14/06/2012;5.3289
15/06/2012;5.2772
18/06/2012;5.293
19/06/2012;5.3032
20/06/2012;5.2642
21/06/2012;5.2789
22/06/2012;5.3158
25/06/2012;5.3081
26/06/2012;5.3198
27/06/2012;5.3122
28/06/2012;5.349
29/06/2012;5.2896
02/07/2012;5.2446
03/07/2012;5.2451
04/07/2012;5.229
05/07/2012;5.2573
06/07/2012;5.2914
09/07/2012;5.3442
10/07/2012;5.3045
11/07/2012;5.2913
12/07/2012;5.3175
13/07/2012;5.3217
16/07/2012;5.3381
17/07/2012;5.3077
18/07/2012;5.305
19/07/2012;5.3049
20/07/2012;5.3299
23/07/2012;5.3665
24/07/2012;5.3798
25/07/2012;5.3727
26/07/2012;5.3445
27/07/2012;5.3088
30/07/2012;5.2962
31/07/2012;5.2567
01/08/2012;5.2283
02/08/2012;5.1975
03/08/2012;5.2137
06/08/2012;5.1016
07/08/2012;5.0906
08/08/2012;5.1508
09/08/2012;5.1509
10/08/2012;5.1786
13/08/2012;5.2017
14/08/2012;5.1869
16/08/2012;5.2216
17/08/2012;5.1687
20/08/2012;5.1754
21/08/2012;5.1697
22/08/2012;5.1608
23/08/2012;5.1619
24/08/2012;5.1783
27/08/2012;5.1523
28/08/2012;5.1558
29/08/2012;5.2321
30/08/2012;5.2828
31/08/2012;5.2756
03/09/2012;5.3046
04/09/2012;5.2886
05/09/2012;5.3424
06/09/2012;5.2421
07/09/2012;5.2033
10/09/2012;5.1475
11/09/2012;5.1421
12/09/2012;5.1033
13/09/2012;5.1317
14/09/2012;5.0421
17/09/2012;5.0637
18/09/2012;5.1166
19/09/2012;5.137
20/09/2012;5.2018
21/09/2012;5.1678
24/09/2012;5.2128
25/09/2012;5.2167
26/09/2012;5.2094
27/09/2012;5.2198
28/09/2012;5.1571
01/10/2012;5.1384
02/10/2012;5.1436
03/10/2012;5.1416
04/10/2012;5.0997
05/10/2012;5.0726
08/10/2012;5.0549
09/10/2012;5.041
10/10/2012;5.0744
11/10/2012;5.0976
12/10/2012;5.0714
15/10/2012;5.0709
16/10/2012;5.0599
17/10/2012;5.0481
18/10/2012;5.0572
19/10/2012;5.0532
22/10/2012;5.0493
23/10/2012;5.0714
24/10/2012;5.1098
25/10/2012;5.1341
26/10/2012;5.1751
29/10/2012;5.1605
30/10/2012;5.1433
31/10/2012;5.1265
02/11/2012;5.1455
05/11/2012;5.1462
06/11/2012;5.1478
07/11/2012;5.1274
08/11/2012;5.2076
09/11/2012;5.2058
12/11/2012;5.2102
13/11/2012;5.2378
14/11/2012;5.2059
15/11/2012;5.1794
16/11/2012;5.1859
19/11/2012;5.1682
20/11/2012;5.1455
21/11/2012;5.139
22/11/2012;5.107
23/11/2012;5.0928
26/11/2012;5.0815
27/11/2012;5.0718
28/11/2012;5.0906
29/11/2012;5.0565
30/11/2012;5.0621
03/12/2012;5.0561
04/12/2012;5.0901
05/12/2012;5.0708
06/12/2012;5.0816
07/12/2012;5.1236
10/12/2012;5.1274
11/12/2012;5.0906
12/12/2012;5.0765
13/12/2012;5.0515
14/12/2012;5.0431
17/12/2012;5.026
18/12/2012;5.0357
19/12/2012;5.0006
20/12/2012;5.0037
21/12/2012;5.0016
24/12/2012;4.986
27/12/2012;4.9828
28/12/2012;4.9698
31/12/2012;5.0119
02/01/2013;5.0026
03/01/2013;5.0296
04/01/2013;5.0873
07/01/2013;5.0767
08/01/2013;5.0605
09/01/2013;5.0642
10/01/2013;4.9917
11/01/2013;4.9783
14/01/2013;4.9724
15/01/2013;4.9478
16/01/2013;4.9822
17/01/2013;4.941
18/01/2013;4.9286
21/01/2013;4.982
22/01/2013;4.9596
23/01/2013;4.9519
24/01/2013;4.988
25/01/2013;4.9205
28/01/2013;4.8923
29/01/2013;4.9055
30/01/2013;4.8732
31/01/2013;4.8885
01/02/2013;4.8629
04/02/2013;4.8066
05/02/2013;4.8658
06/02/2013;4.8353
07/02/2013;4.8402
08/02/2013;4.8891
11/02/2013;4.8728
12/02/2013;4.8545
13/02/2013;4.8529
14/02/2013;4.8399
15/02/2013;4.862
18/02/2013;4.8584
19/02/2013;4.8585
20/02/2013;4.7513
21/02/2013;4.8166
22/02/2013;4.8037
25/02/2013;4.7574
26/02/2013;4.8169
27/02/2013;4.8123
28/02/2013;4.8058
01/03/2013;4.7705
04/03/2013;4.7815
05/03/2013;4.8077
06/03/2013;4.7735
07/03/2013;4.7696
08/03/2013;4.7618
11/03/2013;4.7482
12/03/2013;4.7364
13/03/2013;4.7688
14/03/2013;4.7795
15/03/2013;4.826
18/03/2013;4.8448
19/03/2013;4.8455
20/03/2013;4.8702
21/03/2013;4.913
22/03/2013;4.9224
25/03/2013;4.8599
26/03/2013;4.9213
27/03/2013;4.9355
28/03/2013;4.9707
29/03/2013;4.9528
02/04/2013;4.9512
03/04/2013;4.9399
04/04/2013;4.9356
05/04/2013;4.9264
08/04/2013;4.8849
09/04/2013;4.8517
10/04/2013;4.8117
11/04/2013;4.823
12/04/2013;4.8453
15/04/2013;4.824
16/04/2013;4.8232
17/04/2013;4.7674
18/04/2013;4.8039
19/04/2013;4.8235
22/04/2013;4.7926
23/04/2013;4.8406
24/04/2013;4.8598
25/04/2013;4.9041
26/04/2013;4.9316
29/04/2013;4.921
30/04/2013;4.9148
02/05/2013;4.904
06/05/2013;4.9251
07/05/2013;4.937
08/05/2013;4.8964
09/05/2013;4.8858
10/05/2013;4.9087
13/05/2013;4.9265
14/05/2013;4.8974
15/05/2013;4.9277
16/05/2013;4.9464
17/05/2013;4.9516
20/05/2013;4.9236
21/05/2013;4.9328
22/05/2013;4.8781
23/05/2013;4.9109
24/05/2013;4.8968
27/05/2013;4.9093
28/05/2013;4.8977
29/05/2013;4.9465
31/05/2013;5.0181
03/06/2013;5.0154
04/06/2013;4.9714
05/06/2013;4.9764
06/06/2013;5.0308
07/06/2013;5.0678
10/06/2013;4.9992
11/06/2013;5.0074
12/06/2013;5.0159
13/06/2013;5.0106
14/06/2013;4.9472
17/06/2013;4.9851
18/06/2013;4.972
19/06/2013;4.963
20/06/2013;5.0629
21/06/2013;5.0705
